frequency, MAG[S21]*MAG[21], MAG[S31]*MAG[31], MAG[S41]*MAG[41]
233,0.000000361647079641,0.0000305043022249,0.954091354176
233.5,0.000000364736276356,0.0000295666237504,0.953929216249
234,0.000000367231152016,0.0000285953284516,0.953671386721
234.5,0.000000369164392921,0.0000275870754756,0.9532397956
235,0.0000003705765625,0.0000265399098561,0.952544768256
235.5,0.0000003715268209,0.0000254532358144,0.9514831936
236,0.000000372090240064,0.0000243282738169,0.949928977449
236.5,0.0000003723562441,0.0000231681456889,0.947748978576
237,0.000000372433134529,0.000021977344,0.944785944001
237.5,0.000000372444119524,0.0000207624212964,0.940872840196
238,0.000000372532005316,0.0000195320686401,0.935827933924
238.5,0.000000372855563161,0.0000182964074049,0.929465671744
239,0.000000373584998656,0.0000170678049424,0.921590400025
239.5,0.000000374905167025,0.0000158601469504,0.912017360016
240,0.000000377004596049,0.0000146885928049,0.9005630404
240.5,0.000000380073483001,0.00001356964569,0.887072004025
241,0.000000384297086889,0.0000125202037921,0.871411048036
241.5,0.000000389845389376,0.00001155728016,0.853491431716
242,0.000000396869760576,0.0000106970860096,0.833267737225
242.5,0.0000004054887684,0.0000099544036036,0.810752574724
243,0.000000415783804969,0.0000093418254736,0.786022323241
243.5,0.000000427795791721,0.0000088689604864,0.759208998276
244,0.000000441516394089,0.0000085422337441,0.730513799401
244.5,0.000000456890827969,0.0000083639532025,0.700189053529
245,0.000000473816085649,0.0000083325750244,0.668533534321
245.5,0.000000492151356225,0.0000084427438096,0.635883440929
246,0.000000511719899716,0.00000868539841,0.602588902756
246.5,0.000000532323456025,0.00000904866561,0.569012240241
247,0.000000553745827881,0.0000095180888196,0.535497577729
247.5,0.000000575772887209,0.0000100777677025,0.502373341089
248,0.000000598190871184,0.0000107110234729,0.469932186256
248.5,0.0000006208021681,0.0000114010223716,0.438426731044
249,0.000000643423766769,0.0000121313586601,0.408066717601
249.5,0.000000665893536529,0.0000128868076324,0.379017534736
250,0.0000006880868401,0.0000136535423049,0.351397612944
250.5,0.000000710188796529,0.0000144191835076,0.325286574921
251,0.000000731840897529,0.0000151732841841,0.300727204996
251.5,0.000000752976178564,0.0000159071750244,0.277731108004
252,0.000000773550153289,0.0000166136944801,0.256281975049
252.5,0.000000793546019344,0.0000172873839961,0.236342794801
253,0.000000812956492881,0.00001792421569,0.217863030564
253.5,0.000000831796896841,0.0000185214033225,0.200777478724
254,0.000000850087688004,0.0000190771527076,0.185012677161
254.5,0.000000867858064921,0.0000195907152996,0.170492190649
255,0.000000885149798976,0.0000200620680649,0.157136131216
255.5,0.000000902007967081,0.0000204915560976,0.144865494544
256,0.000000918478807129,0.00002088033025,0.133599753169
256.5,0.000000934617163536,0.0000212297013049,0.123264890281
257,0.000000950472906084,0.0000215412015625,0.113787480976
257.5,0.000000966102239025,0.0000218166528889,0.105097859344
258,0.000000981557821696,0.0000220579576281,0.0971319556
258.5,0.000000996894414916,0.00002226707344,0.089829081225
259,0.0000010121768449,0.0000224459907984,0.083133035584
259.5,0.0000010274255044,0.00002259671296,0.076991820676
260,0.0000010427473225,0.0000227211428889,0.071357368384
260.5,0.0000010581619689,0.0000228212576656,0.066185794756
261,0.0000010737311641,0.0000228988089729,0.061437058225
261.5,0.00000108951844,0.0000229555016161,0.057073687801
262,0.0000011055891609,0.0000229930799121,0.053062965316
262.5,0.0000011219681929,0.00002301312784,0.049373284401
263,0.0000011387450944,0.0000230171576644,0.045977222929
263.5,0.0000011559690256,0.0000230065081801,0.042849414001
264,0.0000011736905569,0.0000229826277604,0.039966407056
264.5,0.0000011919835684,0.0000229465908676,0.0373069225
265,0.0000012109241764,0.0000228997660369,0.034852409344
265.5,0.00000123054649,0.0000228430467136,0.032584943169
266,0.0000012509751409,0.00002277771076,0.030489001321
266.5,0.0000012722260849,0.0000227044626064,0.028549847089
267,0.0000012944295529,0.0000226243873801,0.0267551449
267.5,0.0000013176514521,0.0000225381865536,0.025092144025
